name,engName,activeIngredient,treatmentForm,treatmentCodeName,brand,in_stock,price,newItem,CBD,THC
ויקטוריה איילנד,SEACH B T20C4S VICTORIA,T20C4,תפרחת,תפרחת SATIVA T20 C4,שיח,1,199,,0,24.1
לגאטו,SEVEN LEGATO T20C4 IND,T20C4,תפרחת,תפרחת INDICA T20 C4,SEVEN,1,307,,0,24
סונטה,SEVEN SONATA T20C4 HYB,T20C4,תפרחת,תפרחת BLEND T20 C4,SEVEN,1,317,,0,24
SOLO 19,SOLO 19 T20C4 HYB 10G,T20C4,תפרחת,תפרחת BLEND T20 C4,SOLO,1,379,,0,24
דארק ריף,DARK REEF T20C4 FL,T20C4,תפרחת,תפרחת BLEND T20 C4,ארגמן,1,249,,0,24
סוויט גנדי,GM SWEET GANDHI T20C4 S,T20C4,תפרחת,תפרחת INDICA T20 C4,גרינמד,1,291,,0,24
אם סקאנק,MSKUNK T20C4 SATIVA,T20C4,תפרחת,תפרחת INDICA T20 C4,דוד וגוליית,1,245,,0,24
סקיילאב סאטיבה,INFL T20C4 SKYLAB SATIVA,T20C4,תפרחת,תפרחת SATIVA T20 C4,טוגדר,1,199,,0,24
דיאס,DS T20C4,T20C4,תפרחת,תפרחת INDICA T20 C4,טריכום,1,329,,0,24
סטאר אר,STAR R T20C4,T20C4,תפרחת,תפרחת INDICA T20 C4,פיס נטורלס,1,199,,0,24
אוריגינל CG,ORIGINAL GC T20C4,T20C4,תפרחת,תפרחת SATIVA T20 C4,פיס נטורלס,1,279,,0,24
ספייס סי קיי,SPACE CK T20C4,T20C4,תפרחת,תפרחת BLEND T20 C4,פיס נטורלס,1,199,,0,24
תפרחת וודינג קייק,WEDDING CAKE T20C4,T20C4,תפרחת,תפרחת BLEND T20 C4,פיס נטורלס,1,229,,0,24
סטיקי אייפ,STICKY APE T20C4,T20C4,תפרחת,תפרחת BLEND T20 C4,פיס נטורלס,1,199,,0,24
גי אם או,GMO T20C4,T20C4,תפרחת,תפרחת INDICA T20 C4,פיס נטורלס,1,229,,0,24
גורילה קוש,GORILLA KUSH T20C4 FL,T20C4,תפרחת,תפרחת INDICA T20 C4,פלאנטיס,1,289,,0,24
סאנסט שרב,QWEST SUNSET SHERB T20C4,T20C4,תפרחת,תפרחת INDICA T20 C4,קווסט,1,349,,0,24
אייפיאל פריט סמול,QWEST APL FRIT SMAL T20C4,T20C4,תפרחת,תפרחת BLEND T20 C4,קווסט,1,279,,0,24
ציטה פי,QWEST CHEETA P T20C4,T20C4,תפרחת,תפרחת BLEND T20 C4,קווסט,1,349,,0,24
רוז באד אורגני,ORGANIC ROSE BUD SAT,T20C4,תפרחת,תפרחת SATIVA T20 C4,קנאשור,1,179,,0,24
סטארדוג מיניז,STARDAWG MINIZ T20C4 HYB,T20C4,תפרחת,תפרחת BLEND T20 C4,קנדוק,1,229,,0,24
הולנדי,SEACH B T20C4 DE DUTCH I,T20C4,תפרחת,תפרחת INDICA T20 C4,שיח,1,249,,0,24
קאפרי,SEACH B CAPRI T20C4 IND,T20C4,תפרחת,תפרחת INDICA T20 C4,שיח,1,279,,0,24
מגמה,SEACH B T20C4 MAGMA IND,T20C4,תפרחת,תפרחת INDICA T20 C4,שיח,1,199,,0,24
גולדן בוי,SEACH B T20C4S GOLDEN BOY,T20C4,תפרחת,תפרחת SATIVA T20 C4,שיח,1,159,,0,24
תפרחות נילוס,TO NILE T20C4 BLEND,T20C4,תפרחת,תפרחת BLEND T20 C4,תיקון עולם,1,259,,0,24
אלסקה,TO T20C4 ALASKA SAT FL,T20C4,תפרחת,תפרחת SATIVA T20 C4,תיקון עולם,1,269,,0,24
פי או גי,POG T20C4,T20C4,תפרחת,תפרחת INDICA T20 C4,דוד וגוליית,1,329,,0,23.9
גי גלו,GGLUE T20C4 IND,T20C4,תפרחת,תפרחת INDICA T20 C4,דוד וגוליית,1,245,,0,23.9
ברו,BRO T20C4 INDICA,T20C4,תפרחת,תפרחת INDICA T20 C4,וויבז-טריכום,1,329,,0,23.9
אףיו,SEACH B FU T20C4S,T20C4,תפרחת,תפרחת SATIVA T20 C4,שיח,1,319,,0,23.9
שח ורוד,CSURE PINK CHES T20C4 IND,T20C4,תפרחת,תפרחת INDICA T20 C4,קנאשור,1,189,,0,23.8
איי אף,AF T20C4,T20C4,תפרחת,תפרחת BLEND T20 C4,וויבז-טריכום,1,329,,0,23.7
ילו סאנפלאוורר,TOG YELL SUNFLOWER T20C4S,T20C4,תפרחת,תפרחת SATIVA T20 C4,טוגדר,1,149,,0,23.7
חמסה 81,SEACH HAMSA 18 T20C4I,T20C4,תפרחת,תפרחת INDICA T20 C4,שיח,1,349,,0,23.7
רומא,IMC ROMA T20I,T20C4,תפרחת,תפרחת INDICA T20 C4,IMC,1,269,,0,23.5
גרנד קניון,SEACH B T20C4GRAND CANYON,T20C4,תפרחת,תפרחת INDICA T20 C4,שיח,1,169,,0,23.5
אייס אוף ספיידס,ACE OF SPADES,T20C4,תפרחת,תפרחת INDICA T20 C4,פלאנטיס,1,169,,0,23.4
תכלת,SEACH B T20C4S TCHELET,T20C4,תפרחת,תפרחת SATIVA T20 C4,שיח,1,249,,0,23.4
ים,YAM T20C4 INDICA,T20C4,תפרחת,תפרחת INDICA T20 C4,טוגדר,1,149,,0,23.1
אטומיק,ATOMIC T20C4,T20C4,תפרחת,תפרחת BLEND T20 C4,פיס נטורלס,1,169,,0,23
פרפל פונץ,PURPLE PUNCH T20C4,T20C4,תפרחת,תפרחת INDICA T20 C4,פיס נטורלס,1,199,,0,23
סיני מיניז,TO SINAI MINIS T20C4 SAT,T20C4,תפרחת,תפרחת SATIVA T20 C4,תיקון עולם,1,149,,0,23
ארז,TO T20C4 EREZ IND FL,T20C4,תפרחת,תפרחת INDICA T20 C4,תיקון עולם,1,239,,0,23
רפאל,RAPHAEL T20C4,T20C4,תפרחת,תפרחת INDICA T20 C4,פיס נטורלס,1,279,,0,22
אל בי סי,LBC T20C4,T20C4,תפרחת,תפרחת BLEND T20 C4,פיס נטורלס,1,219,,0,22
אינפיניטי,INFINITI T20C4,T20C4,תפרחת,תפרחת BLEND T20 C4,פיס נטורלס,1,179,,0,22
תפרחת בלאק,NITZAN B T20C4 IND BLACK,T20C4,תפרחת,תפרחת INDICA T20 C4,שיח,1,199,,0,22
מיאמי סקיי,MIAMY SKY T20C4,T20C4,תפרחת,תפרחת SATIVA T20 C4,פיס נטורלס,1,219,,0,21
קוב או גי,PURPLE KOBE OG T20C4,T20C4,תפרחת,תפרחת INDICA T20 C4,פיס נטורלס,1,199,,0,21
פיקו פרפל ריין 6,PURPLE RAIN 06 T20I,T20C4,תפרחת,תפרחת INDICA T20 C4,IMC,1,279,,0,0
בלאק מלק,BLK MLK T20H,T20C4,תפרחת,תפרחת BLEND T20 C4,IMC,1,399,,0,0
SOLO47,SOLO 47 T20C4 10G INF I,T20C4,תפרחת,תפרחת INDICA T20 C4,SOLO,1,379,,0,0
SOLO 61,SOLO 61 T20C4 IND 10G,T20C4,תפרחת,תפרחת INDICA T20 C4,SOLO,1,379,,0,0
גי,GM G T20C4 SAT,T20C4,תפרחת,תפרחת SATIVA T20 C4,גרינמד,1,349,,0,0
דה וויט,CLOUD-9 THE WHITE T20C4,T20C4,תפרחת,תפרחת SATIVA T20 C4,גרינקום,1,259,,0,0
ספוטניק,TOGETHER SPUTNIK T20C4,T20C4,תפרחת,תפרחת INDICA T20 C4,טוגדר,1,199,,0,0
אפולו,TOGETHER APOLLO T20C4,T20C4,תפרחת,תפרחת BLEND T20 C4,טוגדר,1,199,,0,0
גי גי 4,GG4 T20C4,T20C4,תפרחת,תפרחת INDICA T20 C4,פיס נטורלס,1,229,,0,0
אףאףמיני,FF MINI T20C4 IND,T20C4,תפרחת,תפרחת INDICA T20 C4,קנאבר,1,240,,0,0
גאנגל אף,SEACH B T20C4 HYJUNGLE F,T20C4,תפרחת,תפרחת BLEND T20 C4,שיח,1,379,,0,0
מצדה,SEACH B MASADA T20C4,T20C4,תפרחת,תפרחת INDICA T20 C4,שיח,1,199,,0,0
אמרלד גליליות,BCANN PRE ROLLS T20C4 SA,T20C4,גליליות,תפרחת SATIVA T20 C4,בזלת,1,258,,0,23.6
אופל,BCANN PRE ROLLS T20C4 IN,T20C4,גליליות,תפרחת INDICA T20 C4,בזלת,1,258,,0,23.6
שמן הולנדי,SEACH OIL T20C4I DE DUTCH,T20C4,שמן,מיצוי INDICA T20 C4,שיח,1,227,,0,24
שמן בלאק,SEACH OIL T20C4 BLACK I,T20C4,שמן,מיצוי INDICA T20 C4,שיח,1,227,,0,22
שמן רומא,IMC OIL ROMA T20C4 IND,T20C4,שמן,מיצוי INDICA T20 C4,IMC,1,269,,0,0
ספיישל טי,BCANN MCT SP T 247 I OIL,T20C4,שמן,מיצוי INDICA T20 C4,בזלת,1,350,,0,0
שמן פי קיי,BETTER OIL PK SUPRT T20C4,T20C4,שמן,מיצוי BLEND T20 C4,בטר,1,229,,0,0
שמן אינדיקה   TCM 02T,BCANN MCT T20C4 IND OIL,T20C4,שמן,מיצוי INDICA T20 C4,ביקאן,1,258,,0,0
ספיישל די 742,BCANN MCT SP T 247 S OIL,T20C4,שמן,מיצוי SATIVA T20 C4,ביקאן,1,350,,0,0
פירות יער לימון,MEDCANOIL T20C4 BER LE,T20C4,שמן,מיצוי BLEND T20 C4,פיס נטורלס,1,264,,0,0
גורילה גלו,OIL G GLUE T20C4 IND,T20C4,שמן,מיצוי INDICA T20 C4,קנדוק,1,289,,0,0
אקסיבן,AXIBAN SL DROP T20C4 10G,T20C4,שמן,מיצוי BLEND T20 C4,רפא,1,299,,0,0
שמן תכלת 402,SEACH OIL T20C4 TCHELES,T20C4,שמן,מיצוי SATIVA T20 C4,שיח,1,227,,0,0
תפרחת תכלת ריליף,SEACH T15C3 TR FL,T15C3,תפרחת,תפרחת SATIVA T15 C3,שיח,1,199,,0,19
אלסקה,TO T15C3 ALASKA SAT FL,T15C3,תפרחת,תפרחת SATIVA T15 C3,תיקון עולם,1,249,,0,19
קורל,BCANN FLCRL T15C3 IND,T15C3,תפרחת,תפרחת INDICA T15 C3,בזלת,1,179,,0,18.7
בלו נייט,BLUE KNIGHT T15C3 IND,T15C3,תפרחת,תפרחת INDICA T15 C3,מדיקן איקס,1,229,,0,18.5
רומא,IMC ROMA T15I,T15C3,תפרחת,תפרחת INDICA T15 C3,IMC,1,199,,0,18
וודינג פלאוורס,WEDDING FLOWERS T15C3 IND,T15C3,תפרחת,תפרחת INDICA T15 C3,פלאנטיס,1,199,,0,18
גרניט,BCANN FLGRN T15C3 SAT,T15C3,תפרחת,תפרחת SATIVA T15 C3,בזלת,1,179,,0,17.1
אדגיו,SEVEN ADAGIO T15C3 HYB,T15C3,תפרחת,תפרחת BLEND T15 C3,SEVEN,1,237,,0,0
סאפ,TO T15C3 SAP SAT,T15C3,תפרחת,תפרחת SATIVA T15 C3,תיקון עולם,1,149,,0,0
